Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-68.78668	-79.82983	11.04314	0.011239	0.109798	0.0935199	0.0952673	0.0326675	0.0470585	0.313627	0.177589	0.508784
10	-69.92766	-73.84534	3.917687	0.031716	0.0592763	0.219946	0.463508	0.0354533	0.112459	0.281387	0.601399	0.117214
20	-65.06581	-70.38723	5.321414	0.0401216	0.121578	0.304759	0.114323	0.0709803	0.165633	0.10652	0.678221	0.215259
30	-65.6738	-72.3054	6.631596	0.0254943	0.12372	0.175084	0.0943254	0.110919	0.189882	0.549795	0.300651	0.149554
40	-64.29082	-73.9023	9.61148	0.0239038	0.111053	0.119381	0.0594089	0.0469806	0.135876	0.185958	0.405045	0.408997
50	-63.898	-71.07656	7.178564	0.181183	0.0950046	0.0795409	0.0630417	0.135235	0.12452	0.0893053	0.3179	0.592795
60	-65.15019	-71.91718	6.766992	0.177918	0.100008	0.0874022	0.0717241	0.0976686	0.17458	0.26653	0.0895615	0.643908
70	-66.86211	-72.4559	5.593789	0.158534	0.341073	0.0774651	0.0360986	0.109693	0.0741636	0.18498	0.278207	0.536813
80	-65.86621	-74.14156	8.275353	0.0846845	0.0846234	0.215508	0.102284	0.0687003	0.0407123	0.477416	0.272494	0.250091
90	-62.40114	-70.97938	8.578244	0.238672	0.0800933	0.00795151	0.109066	0.0933531	0.044728	0.113542	0.0154839	0.870974
100	-62.04806	-71.4432	9.39514	0.154339	0.04123	0.00885483	0.126199	0.0701313	0.112027	0.0291071	0.0762356	0.894657
110	-67.35633	-70.69677	3.340437	0.251032	0.133016	0.00992879	0.371639	0.0750363	0.124871	0.079365	0.272802	0.647833
120	-64.55472	-72.47652	7.921805	0.0911994	0.0933493	0.0630664	0.141323	0.151831	0.0821801	0.378744	0.0820475	0.539208
130	-65.58068	-70.24142	4.660736	0.278602	0.0756956	0.0935991	0.156799	0.205466	0.0566348	0.135293	0.164707	0.7
140	-65.18394	-71.03026	5.846321	0.299315	0.128607	0.0680396	0.0776988	0.10461	0.099873	0.103482	0.495024	0.401495
150	-63.20318	-71.8266	8.623416	0.26183	0.114111	0.035297	0.0174052	0.102689	0.0391543	0.394045	0.0157404	0.590214
160	-63.38129	-72.77819	9.396907	0.13375	0.0882084	0.0131769	0.0351806	0.145294	0.0970378	0.779803	0.0658294	0.154368
170	-64.47947	-72.9655	8.486032	0.182835	0.168832	0.0645815	0.0130412	0.120962	0.0305069	0.304386	0.0341267	0.661487
180	-67.29408	-72.28699	4.992915	0.468953	0.0556571	0.0421082	0.00503355	0.202002	0.068203	0.178899	0.207356	0.613745
190	-63.0194	-74.87691	11.85751	0.0656169	0.0549707	0.0186519	0.00768433	0.112167	0.0695647	0.459424	0.141671	0.398905
200	-61.14456	-70.20841	9.063857	0.281214	0.0196192	0.0189259	0.00507146	0.146801	0.0659205	0.116163	0.0275129	0.856324
210	-64.16618	-72.02622	7.860037	0.110568	0.153038	0.138215	0.0212406	0.0554054	0.149101	0.173453	0.133775	0.692772
220	-62.18503	-70.96706	8.782033	0.0673104	0.0466996	0.150603	0.072127	0.114992	0.106893	0.232409	0.039309	0.728282
230	-65.81147	-70.10462	4.293149	0.173407	0.0063593	0.111293	0.353716	0.156723	0.0927845	0.254336	0.11271	0.632953
