Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
0	-43.39058	-44.38602	0.995445	0.0326799	0.281995
10	-40.30397	-42.23105	1.927081	0.0980785	0.146384
20	-40.29992	-42.355	2.055078	0.0937252	0.141092
30	-40.24691	-41.86051	1.6136	0.0986884	0.1694
40	-40.08851	-42.66743	2.578925	0.0320275	0.16331
50	-40.82202	-42.38854	1.566512	0.130844	0.140793
60	-41.10961	-41.52104	0.4114243	0.151452	0.207237
70	-41.5971	-41.49106	-0.1060393	0.161403	0.236283
80	-42.65538	-42.17968	-0.4757087	0.264967	0.160579
90	-42.91264	-41.50453	-1.408108	0.230032	0.265783
100	-41.19242	-41.74935	0.556931	0.16988	0.177843
110	-40.28089	-43.26106	2.980179	0.0187116	0.146386
120	-40.45735	-43.59936	3.142013	0.014189	0.138712
130	-40.14495	-42.14264	1.997694	0.0875238	0.151618
140	-40.36082	-41.78278	1.421962	0.107605	0.174926
150	-40.79161	-42.06178	1.270163	0.138298	0.155673
160	-40.89264	-41.86488	0.9722306	0.090003	0.226421
170	-41.84322	-42.32203	0.4788117	0.212083	0.141526
180	-40.46771	-41.67326	1.205551	0.104799	0.194042
190	-41.8567	-41.84789	-0.008814468	0.216129	0.17423
200	-39.9875	-42.47044	2.482943	0.0403954	0.162176
210	-42.91142	-42.1635	-0.7479168	0.142353	0.303707
220	-41.13346	-42.90103	1.767573	0.0363562	0.220128
230	-40.33468	-43.19049	2.855807	0.0576565	0.116814
240	-40.17979	-42.90923	2.729442	0.0250323	0.158962
250	-41.57558	-43.95095	2.375369	0.0114275	0.199251
260	-39.9398	-42.67182	2.732024	0.0399518	0.143848
270	-41.45695	-42.96686	1.509913	0.155314	0.120588
280	-40.65019	-41.60869	0.9585023	0.120101	0.197358
290	-40.22858	-43.28375	3.05517	0.0413179	0.118128
300	-41.47769	-41.93669	0.4590011	0.190028	0.165074
310	-40.54468	-42.33114	1.786462	0.0503083	0.204752
320	-40.23992	-43.38399	3.144067	0.0208076	0.131939
330	-40.35407	-41.90353	1.549459	0.108367	0.164555
340	-41.64813	-42.73774	1.08961	0.0575202	0.250058
350	-40.12532	-42.4702	2.34488	0.0387872	0.174189
360	-40.0332	-42.47453	2.441336	0.0665553	0.139152
370	-40.47135	-42.02385	1.552503	0.0673063	0.205386
380	-40.6375	-43.21284	2.575336	0.0806944	0.114914
390	-41.58129	-42.92872	1.347429	0.168156	0.119991
400	-41.77827	-41.46683	-0.3114431	0.17606	0.237106
410	-40.80987	-43.30219	2.492319	0.0889292	0.112936
420	-41.62535	-43.59028	1.96493	0.135553	0.106057
430	-40.18948	-42.02084	1.831359	0.0638117	0.187865
440	-41.5046	-43.66632	2.161726	0.0170481	0.209731
450	-41.33341	-42.09277	0.7593617	0.0867148	0.245752
460	-40.69357	-42.09498	1.401411	0.130481	0.153599
470	-43.82291	-46.10299	2.280075	0.192642	0.0252183
480	-40.3718	-41.7432	1.371394	0.106645	0.179697
490	-41.65421	-41.54258	-0.1116251	0.193724	0.204383
