Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er_full[1]	er_full[2]	er_full[3]	er_full[4]	er_full[5]	er_full[6]	er_full[7]	er_full[8]	er_full[9]	er_full[10]	er_full[11]	er_full[12]	er_full[13]	er_full[14]	er_full[15]	er_full[16]	er_full[17]	er_full[18]	er_full[19]	er_full[20]	er_full[21]	er_full[22]	er_full[23]	er_full[24]	er_full[25]	er_full[26]	er_full[27]	er_full[28]	pi[1]	pi[2]	pi[3]	pi[4]	pi[5]	pi[6]	pi[7]	pi[8]	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
0	-66.93774	-90.56732	23.62957	0.283188	0.159752	0.0889643	0.084253	0.224308	0.00690481	0.15263	0.283188	0	0	0	0	0	0	0.159752	0	0	0	0	0	0.0889643	0	0	0	0	0.084253	0	0	0	0.224308	0	0	0.00690481	0	0.15263	0.233741	0.162219	0.172551	0.0900914	0.13078	0.0254164	0.0997229	0.0854779	0.0548356	0.230704	0.0255381	0.408241	0.208207	0.00624622	0.0292839	0.0369443
10	-49.60057	-73.23014	23.62957	0.166031	0.232652	0.3046	0.0677359	0.182113	0.0297156	0.0171527	0.166031	0	0	0	0	0	0	0.232652	0	0	0	0	0	0.3046	0	0	0	0	0.0677359	0	0	0	0.182113	0	0	0.0297156	0	0.0171527	0.233617	0.0313158	0.0322216	0.0524589	0.0352015	0.0101883	0.0426893	0.562308	0.0756228	0.299469	0.0336974	0.153587	0.106189	0.05163	0.0161408	0.263664
20	-51.64838	-75.27795	23.62957	0.0512503	0.261793	0.307787	0.0381622	0.288176	0.02174	0.0310912	0.0512503	0	0	0	0	0	0	0.261793	0	0	0	0	0	0.307787	0	0	0	0	0.0381622	0	0	0	0.288176	0	0	0.02174	0	0.0310912	0.313205	0.0777216	0.0756439	0.0904339	0.0826397	0.0540793	0.106074	0.200203	0.109979	0.0700289	0.00837041	0.249545	0.0698496	0.37737	0.0606497	0.0542071
30	-54.23397	-77.86355	23.62957	0.175632	0.173722	0.216264	0.0345859	0.144226	0.14136	0.11421	0.175632	0	0	0	0	0	0	0.173722	0	0	0	0	0	0.216264	0	0	0	0	0.0345859	0	0	0	0.144226	0	0	0.14136	0	0.11421	0.31815	0.0690881	0.0985665	0.103652	0.0281331	0.0480721	0.156374	0.177964	0.102092	0.114109	0.418154	0.143305	0.0496501	0.100848	0.00871843	0.0631234
40	-54.99014	-78.61971	23.62957	0.145778	0.369691	0.0605052	0.0550248	0.167031	0.125244	0.076726	0.145778	0	0	0	0	0	0	0.369691	0	0	0	0	0	0.0605052	0	0	0	0	0.0550248	0	0	0	0.167031	0	0	0.125244	0	0.076726	0.387554	0.0935631	0.147951	0.178166	0.0342702	0.0177829	0.0572159	0.083497	0.0550605	0.134201	0.0608798	0.0672606	0.263984	0.060726	0.00393076	0.353957
50	-50.82757	-74.45714	23.62957	0.0982029	0.500363	0.156055	0.0794902	0.0496897	0.0281674	0.0880311	0.0982029	0	0	0	0	0	0	0.500363	0	0	0	0	0	0.156055	0	0	0	0	0.0794902	0	0	0	0.0496897	0	0	0.0281674	0	0.0880311	0.344649	0.0458586	0.127835	0.124243	0.0422568	0.0740656	0.137189	0.103904	0.0574256	0.139966	0.147302	0.0203492	0.250831	0.0633346	0.0183005	0.302491
60	-50.0563	-73.68588	23.62957	0.146307	0.215391	0.337612	0.106393	0.109276	0.0609377	0.0240825	0.146307	0	0	0	0	0	0	0.215391	0	0	0	0	0	0.337612	0	0	0	0	0.106393	0	0	0	0.109276	0	0	0.0609377	0	0.0240825	0.268937	0.0255378	0.099752	0.0969491	0.0330427	0.0748445	0.0969629	0.303974	0.012023	0.113714	0.119674	0.0314821	0.198816	0.0514555	0.19275	0.280086
70	-51.74546	-75.37504	23.62957	0.174147	0.288761	0.18027	0.0737086	0.177622	0.0774754	0.0280173	0.174147	0	0	0	0	0	0	0.288761	0	0	0	0	0	0.18027	0	0	0	0	0.0737086	0	0	0	0.177622	0	0	0.0774754	0	0.0280173	0.0620714	0.0264644	0.126611	0.17295	0.110549	0.0949965	0.132692	0.273667	0.00357141	0.071843	0.20075	0.276459	0.0995889	0.0739556	0.0951952	0.178636
80	-50.048	-73.67758	23.62957	0.116839	0.520715	0.0771793	0.0228073	0.129855	0.0637264	0.0688779	0.116839	0	0	0	0	0	0	0.520715	0	0	0	0	0	0.0771793	0	0	0	0	0.0228073	0	0	0	0.129855	0	0	0.0637264	0	0.0688779	0.234935	0.0228762	0.109444	0.130626	0.0955598	0.108855	0.0611431	0.236562	0.0312564	0.0924222	0.171865	0.235202	0.128116	0.0882901	0.10181	0.151038
90	-49.77919	-73.40876	23.62957	0.369042	0.216159	0.112018	0.0159059	0.174438	0.0539784	0.058458	0.369042	0	0	0	0	0	0	0.216159	0	0	0	0	0	0.112018	0	0	0	0	0.0159059	0	0	0	0.174438	0	0	0.0539784	0	0.058458	0.216375	0.021069	0.100798	0.120307	0.0900246	0.0537442	0.0563129	0.341369	0.119882	0.0302749	0.0198844	0.262198	0.112477	0.0707905	0.241513	0.14298
100	-48.41961	-72.04919	23.62957	0.217119	0.445042	0.0425372	0.115884	0.119174	0.0415749	0.018669	0.217119	0	0	0	0	0	0	0.445042	0	0	0	0	0	0.0425372	0	0	0	0	0.115884	0	0	0	0.119174	0	0	0.0415749	0	0.018669	0.273425	0.0148231	0.121974	0.131445	0.0461143	0.065035	0.0733691	0.273814	0.0608223	0.0218097	0.0171974	0.290569	0.349623	0.041829	0.0705541	0.147595
110	-50.29775	-73.92732	23.62957	0.103314	0.192741	0.118978	0.167354	0.142595	0.215813	0.0592063	0.103314	0	0	0	0	0	0	0.192741	0	0	0	0	0	0.118978	0	0	0	0	0.167354	0	0	0	0.142595	0	0	0.215813	0	0.0592063	0.168135	0.0362864	0.127805	0.182044	0.0483189	0.0702814	0.0802237	0.286904	0.0392918	0.011726	0.0191001	0.385288	0.287873	0.0921606	0.0450167	0.119544
120	-53.18362	-76.8132	23.62957	0.134691	0.125056	0.289084	0.218179	0.0645865	0.104017	0.0643868	0.134691	0	0	0	0	0	0	0.125056	0	0	0	0	0	0.289084	0	0	0	0	0.218179	0	0	0	0.0645865	0	0	0.104017	0	0.0643868	0.22427	0.0850449	0.102596	0.0814275	0.0476432	0.11898	0.109726	0.230312	0.0326206	0.0291491	0.0518957	0.0856519	0.467545	0.117719	0.138533	0.0768859
130	-53.11973	-76.74931	23.62957	0.0273966	0.113065	0.306316	0.109158	0.0759684	0.166347	0.201749	0.0273966	0	0	0	0	0	0	0.113065	0	0	0	0	0	0.306316	0	0	0	0	0.109158	0	0	0	0.0759684	0	0	0.166347	0	0.201749	0.441221	0.0359061	0.0509527	0.0494482	0.0250581	0.0664746	0.0433372	0.287602	0.0560071	0.095931	0.0421375	0.145815	0.0935889	0.23712	0.277985	0.0514156
140	-52.45686	-76.08643	23.62957	0.0675959	0.0739812	0.233039	0.0714243	0.361441	0.107562	0.0849558	0.0675959	0	0	0	0	0	0	0.0739812	0	0	0	0	0	0.233039	0	0	0	0	0.0714243	0	0	0	0.361441	0	0	0.107562	0	0.0849558	0.476642	0.0641107	0.0441119	0.0845659	0.0216939	0.0558814	0.00400496	0.24899	0.124456	0.0324041	0.0440766	0.120067	0.201547	0.186319	0.271026	0.0201044
150	-51.29378	-74.92335	23.62957	0.287022	0.13797	0.145625	0.157839	0.12357	0.113619	0.0343545	0.287022	0	0	0	0	0	0	0.13797	0	0	0	0	0	0.145625	0	0	0	0	0.157839	0	0	0	0.12357	0	0	0.113619	0	0.0343545	0.121959	0.0346184	0.10514	0.289253	0.0517068	0.0814844	0.0789424	0.236896	0.0122173	0.0147743	0.137738	0.580543	0.0668567	0.0605801	0.123572	0.00371875
160	-53.01485	-76.64442	23.62957	0.173971	0.123517	0.0816625	0.19043	0.298856	0.0915251	0.0400382	0.173971	0	0	0	0	0	0	0.123517	0	0	0	0	0	0.0816625	0	0	0	0	0.19043	0	0	0	0.298856	0	0	0.0915251	0	0.0400382	0.0904549	0.0379769	0.163261	0.317315	0.067998	0.0239147	0.0260043	0.273076	0.00693952	0.0629918	0.187138	0.0739175	0.331806	0.25674	0.078333	0.00213341
170	-55.7878	-79.41737	23.62957	0.154631	0.133242	0.0599095	0.160912	0.0898564	0.326317	0.0751313	0.154631	0	0	0	0	0	0	0.133242	0	0	0	0	0	0.0599095	0	0	0	0	0.160912	0	0	0	0.0898564	0	0	0.326317	0	0.0751313	0.318309	0.0132465	0.341789	0.0915498	0.0268455	0.0361113	0.034593	0.137556	0.0193091	0.131835	0.0311341	0.451123	0.101245	0.179145	0.0781015	0.00810737
180	-51.6304	-75.25998	23.62957	0.224147	0.169905	0.0863034	0.145987	0.0523006	0.27309	0.0482672	0.224147	0	0	0	0	0	0	0.169905	0	0	0	0	0	0.0863034	0	0	0	0	0.145987	0	0	0	0.0523006	0	0	0.27309	0	0.0482672	0.0944991	0.00567521	0.146433	0.0392227	0.0147666	0.0212344	0.0115518	0.666617	0.0888284	0.00905944	0.0618536	0.256668	0.312019	0.225016	0.0363719	0.0101833
190	-49.25228	-72.88185	23.62957	0.201604	0.113888	0.0804932	0.148107	0.150259	0.277057	0.0285919	0.201604	0	0	0	0	0	0	0.113888	0	0	0	0	0	0.0804932	0	0	0	0	0.148107	0	0	0	0.150259	0	0	0.277057	0	0.0285919	0.0876979	0.013071	0.124171	0.224749	0.00949947	0.0358132	0.0396438	0.465354	0.142596	0.019651	0.0336654	0.451474	0.0851539	0.153676	0.0300665	0.0837176
200	-49.77117	-73.40074	23.62957	0.135416	0.2794	0.0341225	0.0679638	0.270267	0.180878	0.0319536	0.135416	0	0	0	0	0	0	0.2794	0	0	0	0	0	0.0341225	0	0	0	0	0.0679638	0	0	0	0.270267	0	0	0.180878	0	0.0319536	0.134063	0.0231479	0.15115	0.359637	0.0390967	0.0634228	0.0702066	0.159276	0.187897	0.0175696	0.198414	0.193468	0.0846347	0.134947	0.0426595	0.14041
210	-51.40323	-75.0328	23.62957	0.150456	0.543548	0.0512237	0.0535487	0.0357336	0.117522	0.0479678	0.150456	0	0	0	0	0	0	0.543548	0	0	0	0	0	0.0512237	0	0	0	0	0.0535487	0	0	0	0.0357336	0	0	0.117522	0	0.0479678	0.205079	0.0324828	0.151736	0.121817	0.0576318	0.0900293	0.0701789	0.271045	0.0746179	0.0171414	0.212396	0.0360936	0.277927	0.106948	0.0770285	0.197848
