Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
460	-62.6035	-71.7478	9.144304	0.233736	0.0181222	0.0243545	0.0639629	0.147963	0.0433979	0.0767365	0.787095	0.136169
470	-63.84128	-70.61798	6.776696	0.191137	0.0843312	0.00455297	0.177586	0.112379	0.138589	0.257958	0.264184	0.477859
480	-62.83731	-71.74077	8.903459	0.228865	0.037929	0.0229981	0.0420388	0.142251	0.075464	0.309706	0.573921	0.116373
490	-62.73513	-70.11262	7.377498	0.178763	0.0704276	0.0813712	0.138228	0.112269	0.0825915	0.114844	0.0238543	0.861301
500	-64.33007	-73.06193	8.731868	0.188408	0.0600595	0.139814	0.0437906	0.0822756	0.0480286	0.145978	0.745345	0.108676
510	-64.04864	-72.05223	8.003584	0.157314	0.0952706	0.0908233	0.0320445	0.0904988	0.150883	0.429375	0.00780251	0.562822
520	-64.90976	-72.98889	8.079131	0.160279	0.0846129	0.0943434	0.0929295	0.133772	0.045248	0.666718	0.282029	0.0512527
530	-68.14018	-69.89011	1.749935	0.214172	0.219267	0.124887	0.224489	0.187166	0.114471	0.274664	0.270094	0.455242
540	-65.23458	-71.48241	6.247821	0.151624	0.134171	0.118608	0.176672	0.0710221	0.0960251	0.0682104	0.824344	0.107446
550	-61.91965	-70.86772	8.94807	0.0444812	0.0702577	0.18831	0.0305599	0.0990912	0.11351	0.0773523	0.21171	0.710937
560	-64.13485	-69.85278	5.717929	0.104048	0.0998517	0.302705	0.0278018	0.11407	0.139267	0.425275	0.120892	0.453833
570	-61.78901	-72.43927	10.65027	0.122508	0.0630038	0.0184797	0.0344976	0.0991054	0.0813326	0.205465	0.38433	0.410205
580	-70.06387	-69.76885	-0.2950189	0.282898	0.304073	0.303821	0.0693339	0.1079	0.169339	0.0752314	0.780341	0.144427
590	-64.97591	-73.17922	8.203311	0.0333817	0.0965609	0.180668	0.120005	0.0947315	0.0765526	0.524932	0.422988	0.0520795
600	-64.8057	-72.46017	7.654473	0.0423194	0.184167	0.175081	0.0529597	0.110462	0.0779493	0.525929	0.414674	0.0593976
610	-65.04446	-73.48757	8.443108	0.0944543	0.0651492	0.0797072	0.177737	0.0534736	0.113447	0.41168	0.579568	0.00875252
620	-62.97738	-70.21196	7.234576	0.184651	0.00196453	0.0544067	0.166481	0.139103	0.127731	0.330773	0.118184	0.551043
630	-63.65658	-71.71674	8.060151	0.190663	0.071362	0.0195929	0.15669	0.131168	0.0431284	0.327779	0.538205	0.134016
640	-66.50562	-69.37347	2.867852	0.357101	0.0723177	0.210102	0.119324	0.134764	0.107251	0.0319995	0.452796	0.515205
650	-65.6477	-70.1216	4.473905	0.333214	0.0542934	0.218958	0.0726818	0.127647	0.0739733	0.0722154	0.645227	0.282558
660	-65.13966	-69.81473	4.675066	0.215828	0.137507	0.239735	0.0377663	0.131535	0.103353	0.543841	0.0596913	0.396468
670	-63.02785	-73.36753	10.33968	0.125511	0.0198285	0.0633563	0.0113912	0.127894	0.0941706	0.456757	0.397098	0.146144
680	-66.12846	-71.4332	5.304731	0.180132	0.154968	0.0866106	0.220315	0.0696212	0.106995	0.700839	0.0681405	0.231021
690	-65.72274	-69.69562	3.972882	0.161966	0.117132	0.188108	0.230007	0.0867044	0.134314	0.463409	0.131134	0.405457
700	-63.06193	-70.58715	7.525224	0.0176061	0.0493188	0.338754	0.0325876	0.0339175	0.180419	0.231496	0.0752046	0.693299
710	-66.3086	-69.58457	3.275975	0.404324	0.104904	0.0361164	0.16479	0.173104	0.0871044	0.0214404	0.13278	0.84578
720	-61.71238	-70.50341	8.791023	0.209395	0.001062	0.0921812	0.091466	0.0884432	0.0754059	0.320478	0.290915	0.388606
730	-66.18576	-73.00624	6.820478	0.184182	0.201882	0.0517587	0.0830799	0.0577694	0.126629	0.149074	0.0485495	0.802376
740	-62.24287	-70.34068	8.097815	0.0349949	0.00715763	0.275315	0.0826871	0.084792	0.124842	0.0381722	0.0577931	0.904035
750	-65.35855	-72.57955	7.221005	0.0917875	0.0637533	0.0827196	0.22411	0.136154	0.0768275	0.687665	0.0854358	0.226899
760	-68.51617	-72.63249	4.116317	0.0360564	0.0662005	0.425337	0.0405443	0.102594	0.236773	0.400718	0.410052	0.189231
770	-62.52901	-72.70249	10.17348	0.0599206	0.0941513	0.137183	0.00151803	0.0981936	0.0636127	0.49326	0.0697112	0.437029
780	-64.47786	-72.8254	8.347537	0.139803	0.120936	0.0332055	0.148546	0.103292	0.0453319	0.191439	0.261668	0.546893
790	-71.94775	-70.03205	-1.915699	0.161492	0.358609	0.188097	0.353346	0.103865	0.193142	0.0735605	0.786039	0.1404
800	-63.32912	-72.08279	8.753669	0.0892066	0.0464209	0.085977	0.152285	0.0702678	0.116589	0.204054	0.485743	0.310203
810	-64.53508	-71.53137	6.996287	0.062419	0.0984106	0.134764	0.151808	0.115329	0.129425	0.0490564	0.878277	0.0726663
820	-63.17203	-70.28853	7.116502	0.103912	0.0304775	0.195059	0.12539	0.0848024	0.143524	0.104052	0.594255	0.301693
830	-61.59421	-71.23114	9.636926	0.192364	0.0362396	0.0607091	0.0569925	0.0972486	0.0511469	0.177379	0.234347	0.588274
840	-64.14217	-71.86499	7.722819	0.123422	0.139055	0.00649527	0.148431	0.128353	0.092072	0.220861	0.356562	0.422577
850	-64.51313	-69.99068	5.477545	0.2251	0.00522756	0.126451	0.282563	0.0666923	0.0996857	0.453931	0.0263332	0.519736
860	-62.49285	-73.68292	11.19007	0.113011	0.0519377	0.0428076	0.00969692	0.124205	0.0369048	0.177757	0.175792	0.646451
870	-61.95238	-71.63331	9.680933	0.164685	0.0915264	0.0156973	0.0558262	0.108753	0.0549222	0.101423	0.310124	0.588453
880	-66.46158	-70.15921	3.697629	0.156058	0.244512	0.3759	0.0262664	0.0337233	0.102353	0.0164701	0.540392	0.443138
890	-61.93018	-70.12999	8.199816	0.223623	0.0308717	0.0145423	0.108962	0.116088	0.108074	0.00571725	0.597748	0.396535
900	-69.11737	-71.12113	2.003766	0.339096	0.182566	0.032158	0.182459	0.156248	0.172946	0.176552	0.0376343	0.785813
910	-66.24025	-74.22928	7.98903	0.192937	0.0258273	0.0380141	0.116759	0.226554	0.0178309	0.0581912	0.493528	0.448281
920	-64.18857	-75.12471	10.93613	0.0195791	0.024766	0.123849	0.0706462	0.0766521	0.0820591	0.738111	0.1815	0.080389
