Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er_full[1]	er_full[2]	er_full[3]	er_full[4]	er_full[5]	er_full[6]	er_full[7]	er_full[8]	er_full[9]	er_full[10]	er_full[11]	er_full[12]	er_full[13]	er_full[14]	er_full[15]	er_full[16]	er_full[17]	er_full[18]	er_full[19]	er_full[20]	er_full[21]	er_full[22]	er_full[23]	er_full[24]	er_full[25]	er_full[26]	er_full[27]	er_full[28]	pi[1]	pi[2]	pi[3]	pi[4]	pi[5]	pi[6]	pi[7]	pi[8]	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
120	-51.84288	-75.47246	23.62957	0.204961	0.106358	0.0535489	0.455293	0.0427007	0.05554	0.0815987	0.204961	0	0	0	0	0	0	0.106358	0	0	0	0	0	0.0535489	0	0	0	0	0.455293	0	0	0	0.0427007	0	0	0.05554	0	0.0815987	0.160591	0.0274119	0.260165	0.101757	0.0126489	0.179696	0.0607389	0.196992	0.207108	0.397811	0.0699883	0.092944	0.060944	0.0113577	0.123464	0.0363829
130	-51.50373	-75.1333	23.62957	0.198437	0.378624	0.0952226	0.126986	0.0618823	0.0391798	0.0996684	0.198437	0	0	0	0	0	0	0.378624	0	0	0	0	0	0.0952226	0	0	0	0	0.126986	0	0	0	0.0618823	0	0	0.0391798	0	0.0996684	0.200946	0.0154701	0.219234	0.131709	0.0280511	0.224852	0.0146593	0.165079	0.0526087	0.0169724	0.255888	0.0305229	0.00912801	0.016277	0.548402	0.0702011
140	-49.69335	-73.32292	23.62957	0.317238	0.21493	0.0338803	0.0753014	0.0187745	0.0790479	0.260828	0.317238	0	0	0	0	0	0	0.21493	0	0	0	0	0	0.0338803	0	0	0	0	0.0753014	0	0	0	0.0187745	0	0	0.0790479	0	0.260828	0.189032	0.0181212	0.163696	0.121975	0.0280947	0.214062	0.00824548	0.256774	0.333774	0.0704964	0.101977	0.0646839	0.0142437	0.0117837	0.312413	0.0906282
150	-51.37575	-75.00533	23.62957	0.445292	0.113701	0.0648005	0.0588314	0.0263529	0.0426724	0.24835	0.445292	0	0	0	0	0	0	0.113701	0	0	0	0	0	0.0648005	0	0	0	0	0.0588314	0	0	0	0.0263529	0	0	0.0426724	0	0.24835	0.131409	0.0138035	0.0885765	0.177523	0.0997204	0.105601	0.00417772	0.379189	0.112544	0.0285134	0.0626164	0.274785	0.0881081	0.0852999	0.223941	0.124193
160	-47.36131	-70.99089	23.62957	0.237236	0.139023	0.0374391	0.0756228	0.236557	0.259687	0.0144351	0.237236	0	0	0	0	0	0	0.139023	0	0	0	0	0	0.0374391	0	0	0	0	0.0756228	0	0	0	0.236557	0	0	0.259687	0	0.0144351	0.0729646	0.00766436	0.0491818	0.0985688	0.0553694	0.0185868	0.0107402	0.686924	0.0274038	0.186368	0.185897	0.266444	0.0594663	0.130379	0.0368016	0.107241
170	-47.46604	-71.09561	23.62957	0.195419	0.397516	0.0980229	0.0678431	0.122047	0.089839	0.0293132	0.195419	0	0	0	0	0	0	0.397516	0	0	0	0	0	0.0980229	0	0	0	0	0.0678431	0	0	0	0.122047	0	0	0.089839	0	0.0293132	0.101376	0.00787472	0.0755071	0.0977024	0.0568891	0.019097	0.0110349	0.630519	0.120986	0.28451	0.191223	0.0760355	0.0667376	0.019044	0.0413015	0.200163
180	-50.31121	-73.94079	23.62957	0.153319	0.130163	0.114853	0.0624071	0.174899	0.256584	0.107775	0.153319	0	0	0	0	0	0	0.130163	0	0	0	0	0	0.114853	0	0	0	0	0.0624071	0	0	0	0.174899	0	0	0.256584	0	0.107775	0.0523093	0.0069616	0.144072	0.062451	0.0436532	0.047085	0.00495621	0.638512	0.066136	0.152204	0.047152	0.209498	0.274767	0.0101416	0.0219946	0.218107
190	-48.63355	-72.26312	23.62957	0.0689268	0.180675	0.0907011	0.0204403	0.373266	0.218336	0.0476544	0.0689268	0	0	0	0	0	0	0.180675	0	0	0	0	0	0.0907011	0	0	0	0	0.0204403	0	0	0	0.373266	0	0	0.218336	0	0.0476544	0.152495	0.0235479	0.111246	0.140621	0.0124349	0.0405499	0.00447587	0.514629	0.0846729	0.0453383	0.176371	0.293307	0.329891	0.012544	0.0173222	0.0405543
200	-53.80842	-77.438	23.62957	0.141388	0.309911	0.00987588	0.10496	0.100594	0.236745	0.0965269	0.141388	0	0	0	0	0	0	0.309911	0	0	0	0	0	0.00987588	0	0	0	0	0.10496	0	0	0	0.100594	0	0	0.236745	0	0.0965269	0.248461	0.0383665	0.0527219	0.229114	0.0589487	0.0741899	0.00305771	0.295141	0.0385025	0.428248	0.367562	0.0420832	0.0472767	0.0104012	0.0148192	0.0511069
210	-46.51351	-70.14309	23.62957	0.181776	0.300664	0.0395713	0.0522381	0.0660935	0.214038	0.14562	0.181776	0	0	0	0	0	0	0.300664	0	0	0	0	0	0.0395713	0	0	0	0	0.0522381	0	0	0	0.0660935	0	0	0.214038	0	0.14562	0.0827434	0.0120423	0.0278309	0.0797435	0.0196314	0.0332316	0.00301979	0.741757	0.0336429	0.385233	0.320571	0.0244313	0.0730218	0.0164762	0.0129488	0.133675
220	-47.40412	-71.0337	23.62957	0.0926422	0.138806	0.0348892	0.0766519	0.0362472	0.132758	0.488006	0.0926422	0	0	0	0	0	0	0.138806	0	0	0	0	0	0.0348892	0	0	0	0	0.0766519	0	0	0	0.0362472	0	0	0.132758	0	0.488006	0.106972	0.0100439	0.0326479	0.0890316	0.0219179	0.0281741	0.0010663	0.710146	0.0945201	0.0946454	0.234882	0.0277399	0.201068	0.00318878	0.00221163	0.341744
230	-48.21842	-71.84799	23.62957	0.0487728	0.0487416	0.0971128	0.0734152	0.0825515	0.575304	0.0741024	0.0487728	0	0	0	0	0	0	0.0487416	0	0	0	0	0	0.0971128	0	0	0	0	0.0734152	0	0	0	0.0825515	0	0	0.575304	0	0.0741024	0.10503	0.0138643	0.0416253	0.0874152	0.02152	0.0299584	0.00333401	0.697253	0.0875123	0.0502928	0.15989	0.0179452	0.47885	0.00703285	0.00320119	0.195275
240	-46.34887	-69.97845	23.62957	0.0811483	0.151664	0.116478	0.320266	0.0411179	0.170614	0.118712	0.0811483	0	0	0	0	0	0	0.151664	0	0	0	0	0	0.116478	0	0	0	0	0.320266	0	0	0	0.0411179	0	0	0.170614	0	0.118712	0.110861	0.0172741	0.0518626	0.0994339	0.0177147	0.0850855	0.00212875	0.615639	0.097917	0.204685	0.0663332	0.107864	0.236207	0.00786902	0.0606324	0.218492
250	-50.79685	-74.42643	23.62957	0.0896921	0.139545	0.195032	0.0928616	0.0746578	0.259791	0.14842	0.0896921	0	0	0	0	0	0	0.139545	0	0	0	0	0	0.195032	0	0	0	0	0.0928616	0	0	0	0.0746578	0	0	0.259791	0	0.14842	0.279521	0.0303247	0.108876	0.162754	0.0289955	0.0899495	0.00481127	0.294767	0.059464	0.077114	0.100995	0.174487	0.0851553	0.0484387	0.0270244	0.427322
260	-50.79188	-74.42145	23.62957	0.217551	0.176982	0.135064	0.115915	0.102596	0.111586	0.140307	0.217551	0	0	0	0	0	0	0.176982	0	0	0	0	0	0.135064	0	0	0	0	0.115915	0	0	0	0.102596	0	0	0.111586	0	0.140307	0.294497	0.0307449	0.110385	0.247772	0.0296835	0.0765365	0.0201124	0.190268	0.162703	0.0400753	0.201126	0.0646164	0.11786	0.320482	0.0262324	0.0669045
270	-53.18705	-76.81662	23.62957	0.0953774	0.18922	0.059015	0.135748	0.0578095	0.357267	0.105563	0.0953774	0	0	0	0	0	0	0.18922	0	0	0	0	0	0.059015	0	0	0	0	0.135748	0	0	0	0.0578095	0	0	0.357267	0	0.105563	0.0640826	0.0430758	0.138939	0.311864	0.0373618	0.0273502	0.0254351	0.351891	0.0760786	0.0698261	0.10228	0.0391073	0.251088	0.153754	0.0355993	0.272267
280	-52.452	-76.08158	23.62957	0.0885981	0.384452	0.0648797	0.0572452	0.0315928	0.280242	0.0929896	0.0885981	0	0	0	0	0	0	0.384452	0	0	0	0	0	0.0648797	0	0	0	0	0.0572452	0	0	0	0.0315928	0	0	0.280242	0	0.0929896	0.102651	0.0140621	0.0701764	0.198034	0.0227668	0.274611	0.0230904	0.294609	0.0340456	0.068974	0.0605111	0.256767	0.0694189	0.0527725	0.172018	0.285493
290	-51.87186	-75.50144	23.62957	0.145444	0.450896	0.0623663	0.0486314	0.0192992	0.215967	0.0573957	0.145444	0	0	0	0	0	0	0.450896	0	0	0	0	0	0.0623663	0	0	0	0	0.0486314	0	0	0	0.0192992	0	0	0.215967	0	0.0573957	0.265855	0.0416631	0.0625174	0.176421	0.0113042	0.24464	0.0131879	0.184412	0.0501895	0.109033	0.0589112	0.0514755	0.0523367	0.0968422	0.113927	0.467285
300	-49.79139	-73.42097	23.62957	0.11393	0.161091	0.189658	0.264597	0.0666056	0.184965	0.0191537	0.11393	0	0	0	0	0	0	0.161091	0	0	0	0	0	0.189658	0	0	0	0	0.264597	0	0	0	0.0666056	0	0	0.184965	0	0.0191537	0.308978	0.0578058	0.0867402	0.0793404	0.015684	0.214008	0.0182976	0.219146	0.0133483	0.100015	0.0521258	0.333688	0.12303	0.068248	0.0692968	0.240249
310	-50.35915	-73.98872	23.62957	0.0593093	0.172401	0.102804	0.403791	0.249489	0.00818087	0.00402512	0.0593093	0	0	0	0	0	0	0.172401	0	0	0	0	0	0.102804	0	0	0	0	0.403791	0	0	0	0.249489	0	0	0.00818087	0	0.00402512	0.130254	0.0378643	0.0529098	0.1038	0.00956696	0.130541	0.0111612	0.523903	0.0533509	0.145722	0.0759478	0.0694323	0.19148	0.244764	0.176192	0.0431113
320	-52.81014	-76.43971	23.62957	0.227328	0.114241	0.0641754	0.3502	0.0560737	0.15138	0.0366015	0.227328	0	0	0	0	0	0	0.114241	0	0	0	0	0	0.0641754	0	0	0	0	0.3502	0	0	0	0.0560737	0	0	0.15138	0	0.0366015	0.0746633	0.0328866	0.114552	0.323374	0.0162622	0.198251	0.0186966	0.221314	0.0457854	0.0585283	0.024407	0.0975355	0.210488	0.278942	0.122732	0.161581
330	-51.64771	-75.27728	23.62957	0.202839	0.305951	0.10814	0.200514	0.058887	0.0681205	0.0555492	0.202839	0	0	0	0	0	0	0.305951	0	0	0	0	0	0.10814	0	0	0	0	0.200514	0	0	0	0.058887	0	0	0.0681205	0	0.0555492	0.0762155	0.0335703	0.169355	0.174578	0.0166003	0.202372	0.0190853	0.308224	0.0851058	0.337824	0.138325	0.148771	0.189078	0.0721399	0.0262499	0.00250678
340	-46.83426	-70.46383	23.62957	0.16112	0.270684	0.0906183	0.0731227	0.086302	0.280446	0.0377061	0.16112	0	0	0	0	0	0	0.270684	0	0	0	0	0	0.0906183	0	0	0	0	0.0731227	0	0	0	0.086302	0	0	0.280446	0	0.0377061	0.218648	0.0186658	0.0941645	0.0970691	0.00923007	0.112523	0.0185116	0.431188	0.375168	0.335767	0.0339952	0.0621117	0.0557595	0.0471563	0.0853939	0.00464869
