Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
1050	-43.21646	-44.05275	0.8362913	0.265207	0.0614615
1060	-40.77025	-41.59577	0.8255278	0.117818	0.209662
1070	-41.84667	-41.8177	-0.02897005	0.128374	0.263504
1080	-41.49551	-43.05988	1.564363	0.0380458	0.233753
1090	-42.08652	-41.88717	-0.1993457	0.230964	0.173754
1100	-44.67838	-42.26604	-2.412343	0.343405	0.228092
1110	-40.48117	-41.73086	1.249684	0.0934684	0.202046
1120	-41.47411	-41.62517	0.1510587	0.134178	0.244133
1130	-41.40795	-42.39478	0.9868355	0.0694522	0.245871
1140	-40.86677	-44.42829	3.561513	0.019362	0.101924
1150	-39.98041	-42.24237	2.261959	0.0514384	0.167787
1160	-41.24277	-44.87155	3.628772	0.0252816	0.0909358
1170	-40.0423	-42.13178	2.08948	0.0779003	0.154324
1180	-39.95272	-42.73163	2.778907	0.0385098	0.141756
1190	-40.70628	-41.9876	1.281323	0.133653	0.159477
1200	-41.15327	-41.54193	0.3886595	0.158874	0.201531
1210	-41.80133	-42.6596	0.8582744	0.0664356	0.258577
1220	-40.6615	-41.70951	1.048003	0.130864	0.179849
1230	-40.34603	-41.8143	1.468265	0.0828182	0.196223
1240	-40.65419	-42.89147	2.237281	0.0977613	0.123324
1250	-40.92525	-42.75216	1.826907	0.123839	0.128173
1260	-41.87574	-43.32166	1.445921	0.176555	0.10417
1270	-40.15241	-43.22194	3.069526	0.0358098	0.122554
1280	-40.90264	-43.58356	2.680922	0.0127193	0.174932
1290	-40.82948	-43.26541	2.435929	0.092277	0.113837
1300	-40.95972	-41.7575	0.7977766	0.101672	0.227899
1310	-40.43068	-42.80279	2.372107	0.0283162	0.182608
1320	-40.30864	-42.17265	1.864009	0.0550313	0.194185
1330	-40.35965	-41.76677	1.407124	0.106818	0.176831
1340	-40.49602	-43.04596	2.549942	0.0784558	0.119066
1350	-42.13177	-43.9729	1.841131	0.161612	0.0893281
1360	-40.92341	-42.72441	1.801006	0.124915	0.12905
1370	-43.00847	-45.50977	2.501303	0.134348	0.0668395
1380	-40.30135	-42.32436	2.023006	0.0466487	0.190585
1390	-41.50908	-41.64114	0.1320619	0.189503	0.190239
1400	-40.14858	-41.93783	1.789243	0.0710238	0.183827
1410	-41.71801	-41.55149	-0.1665237	0.198418	0.203827
1420	-41.67736	-41.57028	-0.1070818	0.14981	0.247955
1430	-40.6971	-41.72891	1.031809	0.13402	0.177914
1440	-40.08529	-42.0566	1.971305	0.0833242	0.157806
1450	-41.78942	-45.6355	3.84608	0.0090063	0.090834
1460	-43.24404	-45.9938	2.749757	0.00124337	0.18122
1470	-41.00516	-41.6409	0.6357387	0.15448	0.187303
1480	-45.69528	-42.54736	-3.14792	0.377726	0.249207
1490	-39.98866	-42.08988	2.101218	0.0629235	0.168416
1500	-39.91832	-42.40203	2.483706	0.0476325	0.154881
1510	-41.14882	-43.39796	2.249138	0.108911	0.11128
1520	-40.69923	-42.1365	1.437272	0.129842	0.151534
1530	-41.96963	-41.51318	-0.4564477	0.209748	0.214346
1540	-41.72921	-41.75383	0.0246229	0.20667	0.181169
1550	-39.95801	-42.74306	2.785049	0.0416462	0.138157
1560	-42.188	-44.74033	2.552324	0.110212	0.0871305
1570	-40.48885	-42.32901	1.840162	0.10877	0.142244
1580	-40.11982	-42.05318	1.933359	0.0868073	0.157183
1590	-40.10968	-41.94885	1.839172	0.0854943	0.165594
1600	-40.288	-41.77569	1.487686	0.0990592	0.178518
1610	-40.83481	-42.53523	1.700421	0.126276	0.135269
1620	-40.40529	-42.72336	2.318069	0.0308052	0.184192
