Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
99	1	-41.65421	-41.54258	-0.1116251	0.193724	0.204383
100	0	-42.01789	-43.65694	1.639051	0.171422	0.0947481
101	1	-41.03374	-41.74611	0.7123722	0.105122	0.230886
102	0	-44.00395	-41.90849	-2.095465	0.219946	0.327671
103	1	-41.04347	-41.55368	0.5102057	0.151551	0.199693
104	0	-41.27558	-41.82569	0.5501171	0.105874	0.242362
105	1	-41.74121	-45.55957	3.818366	0.0175014	0.0844275
106	0	-41.58988	-43.08435	1.494475	0.0393186	0.237747
107	1	-41.36437	-41.79488	0.4305053	0.111874	0.245377
108	0	-40.69439	-42.11225	1.417868	0.0664847	0.216354
109	1	-41.32856	-43.83829	2.509736	0.0982489	0.102303
110	0	-44.66291	-47.96553	3.302625	0.0860337	0.0547633
111	1	-40.73391	-41.69827	0.964367	0.136137	0.18088
112	0	-41.96315	-43.19328	1.230127	0.193844	0.103144
113	1	-41.21528	-43.4238	2.208525	0.0194381	0.203814
114	0	-42.03218	-45.87264	3.840458	0.0213653	0.0788988
115	1	-43.33469	-41.81332	-1.521372	0.196891	0.30746
116	0	-40.61904	-41.61907	1.000024	0.118849	0.19548
117	1	-40.71623	-41.6333	0.9170695	0.110098	0.210483
118	0	-42.67973	-42.03405	-0.6456783	0.265138	0.173218
119	1	-41.87877	-42.35783	0.4790632	0.0873609	0.26623
120	0	-40.59946	-41.66036	1.060903	0.123387	0.186355
121	1	-41.47049	-41.52477	0.05427655	0.149211	0.236393
122	0	-41.87316	-43.29797	1.424816	0.177685	0.10463
123	1	-41.3605	-44.26904	2.908545	0.0757355	0.0947609
124	0	-40.18438	-43.18518	3.000798	0.0432024	0.120341
125	1	-41.20418	-42.36296	1.158776	0.16015	0.142215
126	0	-40.17455	-41.91556	1.741007	0.0728657	0.185621
127	1	-40.18986	-43.3024	3.112534	0.0343359	0.120787
128	0	-43.02231	-45.37573	2.353415	0.162473	0.0498595
129	1	-40.00917	-42.46468	2.455503	0.0644862	0.140153
130	0	-40.51511	-42.7456	2.230487	0.0312634	0.190334
131	1	-40.11855	-42.14709	2.028538	0.0850743	0.151743
132	0	-42.05988	-42.01701	-0.04286597	0.230031	0.162895
133	1	-42.80904	-41.60578	-1.203262	0.198323	0.282054
134	0	-40.38857	-43.50052	3.111954	0.0156576	0.139509
135	1	-40.12124	-41.92347	1.802224	0.0734151	0.180458
136	0	-41.12898	-41.58034	0.4513608	0.128101	0.227578
137	1	-40.13499	-41.87918	1.744192	0.0797725	0.178474
138	0	-40.61695	-42.12525	1.508301	0.0637882	0.212236
139	1	-40.2487	-42.38682	2.138121	0.0885945	0.139964
140	0	-43.84718	-44.48608	0.6389047	0.0408042	0.300741
141	1	-41.40123	-42.14509	0.7438625	0.181343	0.152292
142	0	-41.48258	-41.47519	-0.007394491	0.164502	0.22575
143	1	-40.08427	-42.81114	2.726872	0.0554998	0.128688
144	0	-40.60162	-43.07405	2.472425	0.0217054	0.181659
145	1	-40.42848	-43.30962	2.881146	0.0588894	0.113672
146	0	-43.67207	-42.48006	-1.192006	0.31209	0.167438
147	1	-40.9005	-42.93507	2.034569	0.113714	0.122648
148	0	-40.26041	-42.52539	2.264983	0.0370502	0.181947
149	1	-43.07938	-42.01405	-1.065331	0.163187	0.306795
150	0	-41.15918	-44.59071	3.431534	0.00630246	0.12478
151	1	-40.09113	-42.2798	2.188674	0.0790425	0.145706
152	0	-41.71701	-41.9123	0.1952897	0.207049	0.167928
153	1	-40.89997	-44.11231	3.212338	0.0492784	0.0983231
154	0	-40.08758	-42.13454	2.046964	0.0560733	0.179355
155	1	-40.35751	-42.55282	2.195311	0.0905868	0.133661
156	0	-41.16296	-42.89209	1.729128	0.135281	0.1241
157	1	-41.86688	-43.15921	1.29233	0.184846	0.107454
158	0	-40.16573	-42.0657	1.899969	0.0605301	0.185976
159	1	-40.54464	-43.71277	3.168122	0.0125818	0.138352
160	0	-42.40472	-43.14969	0.7449763	0.0591793	0.274371
161	1	-40.05901	-42.84364	2.784629	0.0509041	0.128931
162	0	-44.42098	-42.17666	-2.24432	0.333586	0.225249
163	1	-42.49601	-44.31768	1.821667	0.188875	0.0635321
164	0	-40.75064	-41.60308	0.8524375	0.116117	0.209335
165	1	-40.02915	-41.99984	1.970693	0.0709477	0.170229
166	0	-41.19741	-41.77002	0.5726123	0.170374	0.176167
167	1	-41.47763	-42.10983	0.6322019	0.0903912	0.251659
168	0	-40.55084	-42.90874	2.357894	0.0893106	0.122685
169	1	-41.58104	-41.60296	0.02192509	0.192727	0.195315
170	0	-40.21448	-41.81049	1.596011	0.0871714	0.182242
171	1	-40.35966	-43.52352	3.163853	0.0386082	0.112647
172	0	-40.1974	-42.24597	2.048573	0.0891839	0.146123
173	1	-39.93907	-42.34987	2.410802	0.0600304	0.147978
174	0	-41.36297	-42.0476	0.6846263	0.180306	0.157793
175	1	-40.08695	-42.62548	2.538522	0.0651166	0.133266
176	0	-40.80846	-42.59178	1.783319	0.122096	0.133201
177	1	-40.89405	-44.29815	3.404101	0.035887	0.0972624
178	0	-40.26886	-42.22647	1.957613	0.0954842	0.146678
179	1	-42.3143	-45.63824	3.323945	0.0620818	0.0771085
180	0	-40.61599	-41.64599	1.029997	0.107168	0.204903
181	1	-39.9787	-42.30121	2.322504	0.0482017	0.166461
182	0	-40.66836	-41.96646	1.298094	0.131276	0.16059
183	1	-40.12392	-42.34892	2.225004	0.0796684	0.142342
184	0	-40.55923	-42.8468	2.287566	0.0928353	0.12446
185	1	-40.32281	-42.124	1.801189	0.0581741	0.195777
186	0	-40.95379	-43.09866	2.144871	0.109763	0.118287
187	1	-40.89572	-42.34245	1.44673	0.0578154	0.222849
188	0	-40.11669	-42.62695	2.510269	0.0677833	0.132729
189	1	-40.06347	-42.57825	2.514782	0.065044	0.135128
190	0	-40.84718	-41.55888	0.7117052	0.131143	0.204916
191	1	-40.69178	-44.155	3.46322	0.0243302	0.104364
192	0	-41.28893	-43.24826	1.959325	0.0262202	0.215813
193	1	-40.375	-42.52163	2.146628	0.0383804	0.189537
194	0	-40.13611	-41.92348	1.787369	0.0728476	0.182145
195	1	-40.57093	-42.416	1.845067	0.111684	0.13896
196	0	-41.34235	-44.73671	3.394361	0.0449155	0.088968
197	1	-41.40442	-41.85745	0.4530255	0.185134	0.170419
198	0	-41.07853	-42.16528	1.086749	0.073684	0.23411
199	1	-39.97961	-42.37532	2.395714	0.0646356	0.14451
200	0	-39.96209	-42.66326	2.70117	0.0488702	0.137255
201	1	-42.36459	-43.3119	0.9473148	0.229683	0.0886187
202	0	-41.13179	-41.81141	0.6796238	0.165835	0.172641
203	1	-40.43888	-42.36285	1.923968	0.046729	0.197969
204	0	-40.27881	-43.15692	2.878109	0.0545956	0.118194
205	1	-42.32087	-41.51118	-0.8096958	0.189888	0.260828
206	0	-40.37471	-41.72115	1.346446	0.104457	0.183764
207	1	-41.38024	-41.50152	0.1212777	0.151493	0.229062
208	0	-40.62563	-43.73956	3.113936	0.0497373	0.10528
209	1	-41.28002	-41.64197	0.3619441	0.173959	0.188458
210	0	-43.21646	-44.05275	0.8362913	0.265207	0.0614615
211	1	-40.11789	-42.69167	2.573785	0.0648589	0.130866
212	0	-40.77025	-41.59577	0.8255278	0.117818	0.209662
213	1	-41.34511	-42.238	0.8928869	0.0772359	0.245168
214	0	-41.84667	-41.8177	-0.02897005	0.128374	0.263504
215	1	-40.40482	-41.72192	1.317096	0.108599	0.181835
216	0	-41.49551	-43.05988	1.564363	0.0380458	0.233753
217	1	-40.0096	-42.33265	2.323052	0.0458049	0.168816
218	0	-42.08652	-41.88717	-0.1993457	0.230964	0.173754
219	1	-41.35825	-41.53983	0.1815792	0.142391	0.233619
220	0	-44.67838	-42.26604	-2.412343	0.343405	0.228092
221	1	-40.6005	-43.14134	2.540833	0.0815782	0.11663
222	0	-40.48117	-41.73086	1.249684	0.0934684	0.202046
223	1	-40.73874	-42.97337	2.234639	0.0263298	0.194955
224	0	-41.47411	-41.62517	0.1510587	0.134178	0.244133
225	1	-40.38166	-43.65206	3.270402	0.0302417	0.112984
226	0	-41.40795	-42.39478	0.9868355	0.0694522	0.245871
227	1	-41.77987	-41.9411	0.1612343	0.211373	0.166171
228	0	-40.86677	-44.42829	3.561513	0.019362	0.101924
229	1	-40.56339	-42.39639	1.833001	0.047305	0.204248
230	0	-39.98041	-42.24237	2.261959	0.0514384	0.167787
231	1	-40.10465	-43.12273	3.01808	0.0369335	0.125308
232	0	-41.24277	-44.87155	3.628772	0.0252816	0.0909358
233	1	-46.81007	-43.78999	-3.020073	0.185243	0.432055
234	0	-40.0423	-42.13178	2.08948	0.0779003	0.154324
235	1	-40.27349	-42.7478	2.474312	0.0754902	0.127732
236	0	-39.95272	-42.73163	2.778907	0.0385098	0.141756
237	1	-40.49483	-41.91235	1.417517	0.119244	0.163622
238	0	-40.70628	-41.9876	1.281323	0.133653	0.159477
239	1	-40.75263	-44.2702	3.517573	0.0184931	0.106105
240	0	-41.15327	-41.54193	0.3886595	0.158874	0.201531
241	1	-40.2791	-42.16056	1.881462	0.0553675	0.192534
242	0	-41.80133	-42.6596	0.8582744	0.0664356	0.258577
243	1	-43.19991	-42.36567	-0.8342427	0.291785	0.160782
244	0	-40.6615	-41.70951	1.048003	0.130864	0.179849
245	1	-42.7489	-41.48668	-1.26222	0.233173	0.251647
246	0	-40.34603	-41.8143	1.468265	0.0828182	0.196223
247	1	-44.0996	-41.73228	-2.367321	0.253821	0.314283
248	0	-40.65419	-42.89147	2.237281	0.0977613	0.123324
249	1	-39.96582	-42.15926	2.193437	0.0582369	0.166153
250	0	-40.92525	-42.75216	1.826907	0.123839	0.128173
251	1	-40.37632	-41.75594	1.379624	0.0899932	0.195728
252	0	-41.87574	-43.32166	1.445921	0.176555	0.10417
253	1	-40.49136	-42.04076	1.549402	0.117015	0.155911
254	0	-40.15241	-43.22194	3.069526	0.0358098	0.122554
255	1	-40.56508	-42.34714	1.78206	0.113707	0.141686
256	0	-40.90264	-43.58356	2.680922	0.0127193	0.174932
257	1	-41.97732	-41.66204	-0.3152874	0.219682	0.193774
258	0	-40.82948	-43.26541	2.435929	0.092277	0.113837
259	1	-40.23913	-43.20116	2.962033	0.0480833	0.118382
260	0	-40.95972	-41.7575	0.7977766	0.101672	0.227899
261	1	-40.57197	-43.88591	3.31394	0.013024	0.12692
262	0	-40.43068	-42.80279	2.372107	0.0283162	0.182608
263	1	-40.56255	-42.00202	1.439468	0.0707723	0.210439
264	0	-40.30864	-42.17265	1.864009	0.0550313	0.194185
265	1	-42.16527	-41.83011	-0.3351614	0.23485	0.180104
266	0	-40.35965	-41.76677	1.407124	0.106818	0.176831
267	1	-40.04396	-43.01905	2.975087	0.0322341	0.133247
268	0	-40.49602	-43.04596	2.549942	0.0784558	0.119066
269	1	-40.82652	-41.59372	0.7672025	0.137773	0.194103
